id_venda,id_cliente,id_produto,quantidade,data_pedido
69,766,21,1,2025-10-02
70,52,38,8,2025-10-20
71,515,34,3,2026-07-20
72,59,33,2,2026-03-01
73,872,12,2,2026-02-25
74,610,5,4,2025-12-31
75,414,8,10,2026-05-18
76,253,38,10,2025-09-28
77,41,40,2,2026-06-17
78,430,43,10,2025-11-14
79,579,34,6,2025-09-08
80,958,17,4,2026-05-10
81,686,46,6,2025-10-08
82,245,17,7,2025-10-02
83,135,43,5,2026-02-04
84,469,21,2,2025-08-31
85,10,30,10,2025-09-26
86,577,7,2,2026-03-24
87,551,14,9,2026-02-03
88,272,9,6,2026-03-04
89,903,5,4,2025-11-21
90,379,19,3,2025-10-11
91,449,35,5,2026-03-26
92,627,42,9,2026-01-21
93,9,43,9,2026-05-03
94,307,43,2,2025-09-12
95,962,9,5,2026-01-14
96,119,7,9,2026-03-16
97,160,18,5,2026-01-09
98,620,14,6,2025-09-28
99,209,44,5,2026-06-22
100,518,32,5,2026-02-22
101,928,4,2,2026-07-23
102,650,28,5,2025-09-20
103,46,1,6,2025-12-06
104,790,9,5,2026-07-26
105,166,48,8,2025-10-09
106,565,46,7,2026-06-29
107,575,1,2,2026-03-31
108,78,45,3,2025-08-14
109,559,3,6,2026-04-25
110,597,36,3,2026-06-25
111,441,9,1,2025-08-23
112,316,24,1,2025-09-02
113,921,23,4,2025-08-18
114,699,16,2,2025-12-22
115,363,50,9,2026-07-09
116,906,27,10,2026-07-28
117,768,10,4,2026-03-06
118,886,11,3,2026-05-20
119,903,27,1,2026-01-24
120,184,48,6,2026-01-13
121,802,27,4,2026-05-26
122,274,11,2,2026-03-27
123,392,3,8,2025-12-25
124,228,13,8,2026-03-15
125,359,20,4,2026-05-23
126,229,2,4,2025-12-17
127,409,22,5,2025-11-24
128,886,5,5,2026-06-16
129,360,42,9,2026-07-24
130,410,44,9,2025-11-11
131,340,2,2,2026-06-16
132,899,17,3,2025-10-01
133,595,17,1,2026-06-04
134,112,39,7,2026-01-27
135,354,47,6,2025-08-12
136,447,39,9,2025-08-28
137,119,25,10,2025-09-02
138,195,17,1,2025-09-24
139,726,28,1,2026-05-25
140,533,35,4,2025-09-25
141,373,28,2,2025-10-26
142,972,43,6,2026-06-03
143,639,21,2,2026-05-08
144,738,20,9,2026-01-10
145,317,43,7,2025-11-04
146,335,26,5,2026-01-23
147,568,9,4,2025-11-21
148,431,43,7,2026-07-23
149,694,48,3,2026-02-06
150,631,37,5,2026-01-14
151,416,36,1,2025-08-27
152,312,19,4,2025-08-16
153,441,38,10,2025-09-16
154,671,21,8,2026-05-04
155,453,29,4,2025-12-24
156,524,31,3,2025-09-20
157,675,6,5,2026-03-16
158,528,43,10,2026-06-25
159,344,6,4,2025-09-20
160,689,20,4,2025-12-15
161,826,13,3,2025-09-03
162,26,3,4,2025-09-11
163,487,40,2,2026-02-14
164,467,27,10,2026-01-08
165,200,46,7,2025-09-18
166,507,26,4,2025-08-31
167,152,42,1,2026-04-29
168,915,49,2,2025-12-11
169,798,28,4,2026-08-01
170,181,45,9,2026-06-05
171,476,4,9,2025-11-25
172,256,8,8,2026-08-02
173,137,30,9,2026-07-27
174,573,39,6,2026-02-08
175,973,49,8,2025-10-24
176,628,47,9,2026-01-05
177,437,36,8,2025-09-22
178,919,11,8,2025-10-22
179,461,17,4,2025-08-18
180,861,41,5,2026-01-18
181,785,50,9,2025-12-17
182,497,41,4,2026-06-22
183,282,29,2,2026-04-16
184,731,19,4,2026-01-22
185,279,22,6,2026-04-26
186,915,35,2,2026-03-18
187,142,10,4,2026-02-09
188,393,45,3,2025-10-25
189,724,14,2,2026-03-05
190,425,27,6,2025-12-12
191,556,30,7,2026-08-12
192,64,14,7,2026-06-02
193,399,50,10,2026-05-23
194,969,45,1,2026-03-22
195,878,49,10,2025-10-08
196,390,31,1,2026-06-04
197,966,23,5,2026-07-21
198,772,25,7,2026-07-15
199,552,48,9,2026-06-14
200,820,39,4,2026-07-03
201,500,15,5,2026-01-18
202,447,32,1,2025-10-05
203,399,22,7,2025-12-19
204,742,11,8,2025-09-04
205,942,9,10,2025-11-08
206,547,2,7,2025-10-01
207,607,37,1,2026-06-20
208,86,42,7,2025-08-18
209,139,30,3,2025-09-02
210,52,17,7,2025-11-17
211,336,14,8,2026-01-10
212,335,22,7,2025-09-17
213,285,49,7,2026-07-31
214,259,6,8,2026-03-29
215,20,48,9,2025-08-21
216,54,23,4,2025-09-05
217,666,5,1,2025-09-23
218,773,2,4,2026-01-22
219,205,2,10,2026-02-05
220,157,16,3,2026-01-30
221,485,43,2,2026-07-12
222,578,14,8,2025-08-25
223,717,17,6,2026-05-13
224,172,39,10,2025-11-16
225,987,48,2,2025-11-06
226,797,11,5,2026-05-20
227,111,38,1,2026-03-02
228,952,20,10,2026-06-08
229,694,25,7,2026-03-06
230,965,46,4,2026-04-25
231,78,38,4,2026-04-27
232,105,45,5,2026-04-23
233,871,44,10,2026-03-10
234,825,8,10,2025-12-05
235,802,3,6,2026-04-13
236,546,28,6,2026-04-28
237,71,33,6,2025-12-05
238,13,27,8,2025-10-13
239,109,28,6,2025-11-13
240,651,30,3,2026-03-22
241,446,12,9,2025-08-25
242,989,42,5,2026-03-15
243,631,35,8,2026-04-05
244,477,28,10,2026-03-18
245,275,21,4,2026-02-09
246,851,6,5,2026-07-12
247,903,29,4,2026-05-25
248,769,30,10,2026-02-21
249,625,43,7,2026-02-08
250,345,2,8,2025-11-01
251,872,21,3,2025-09-04
252,500,14,6,2026-01-28
253,817,17,6,2026-01-19
254,287,39,5,2025-09-25
255,570,1,9,2026-01-10
256,971,13,2,2026-03-20
257,248,47,7,2026-05-13
258,501,36,4,2025-09-18
259,708,31,8,2026-07-10
260,459,2,2,2026-07-27
261,302,15,7,2025-10-05
262,709,16,5,2026-02-05
263,680,38,6,2026-07-26
264,485,36,9,2026-02-05
265,353,28,9,2026-03-08
266,339,23,8,2025-11-10
267,278,20,5,2026-06-12
268,237,8,4,2026-05-17
269,324,8,9,2026-01-18
270,974,49,3,2025-10-28
271,197,14,8,2026-04-21
272,284,47,10,2026-02-16
273,779,34,10,2026-03-16
274,290,7,4,2025-11-25
275,304,15,6,2026-03-08
276,184,20,1,2025-09-22
277,726,35,3,2026-03-23
278,281,3,1,2026-06-03
279,567,19,3,2025-09-05
280,654,49,8,2026-06-09
281,106,1,10,2025-11-16
282,292,31,8,2026-07-01
283,452,22,3,2026-06-18
284,989,4,5,2026-07-27
285,964,31,2,2025-10-02
286,842,5,7,2025-10-29
287,504,5,10,2025-08-30
288,645,44,1,2026-01-27
289,156,10,10,2026-07-08
290,972,20,2,2026-06-16
291,255,8,9,2025-09-19
292,783,27,10,2026-01-09
293,611,40,4,2026-06-15
294,795,34,7,2026-04-10
295,462,29,5,2026-04-10
296,881,38,7,2026-03-30
297,313,37,10,2026-04-10
298,62,40,2,2025-11-14
299,971,49,4,2026-06-18
300,641,14,5,2026-07-08
301,677,6,3,2026-02-27
302,246,12,9,2026-08-03
303,77,11,1,2025-09-11
304,419,29,10,2025-12-25
305,482,19,1,2026-04-25
306,238,19,5,2026-03-25
307,720,30,2,2026-02-15
308,704,15,5,2026-02-12
309,807,41,10,2026-08-10
310,678,13,7,2026-03-14
311,118,35,4,2026-07-07
312,664,10,5,2026-07-06
313,847,10,2,2025-09-11
314,62,11,5,2026-01-21
315,610,48,10,2025-08-20
316,944,19,8,2026-06-14
317,128,30,5,2026-02-12
318,717,26,5,2026-03-15
319,513,35,8,2025-11-26
320,449,6,10,2026-04-11
321,41,28,6,2025-08-23
322,619,17,1,2026-06-08
323,94,15,10,2025-09-06
324,602,2,5,2026-02-28
325,591,3,3,2026-01-05
326,482,34,8,2025-11-15
327,939,18,3,2026-02-23
328,600,28,8,2025-10-09
329,993,6,8,2025-09-25
330,357,27,6,2026-07-24
331,329,43,2,2026-07-01
332,879,11,6,2026-02-19
333,422,45,8,2026-05-08
334,296,43,7,2025-11-05
335,834,49,9,2026-08-06
336,38,30,2,2026-08-02
337,323,17,6,2025-12-26
338,119,50,7,2026-07-19
339,886,33,1,2026-02-25
340,674,35,8,2025-09-03
341,424,4,4,2025-08-21
342,531,24,10,2026-02-25
343,775,32,8,2026-01-12
344,779,4,4,2025-12-07
345,274,36,3,2026-04-12
346,950,19,8,2026-06-11
347,902,45,8,2025-10-16
348,125,2,10,2025-10-20
349,819,16,3,2026-03-06
350,319,36,1,2025-11-29
351,566,27,2,2026-01-06
352,231,8,8,2026-05-18
353,970,8,3,2026-04-13
354,511,46,5,2026-07-19
355,522,46,5,2026-02-14
356,426,31,8,2026-02-10
357,250,30,9,2026-06-07
358,149,25,4,2025-11-18
359,944,39,9,2025-10-11
360,765,9,2,2026-04-14
361,283,50,7,2026-03-04
362,349,33,5,2026-02-12
363,841,1,5,2026-01-28
364,744,20,10,2026-05-14
365,594,43,8,2026-03-11
366,887,10,8,2026-08-12
367,552,31,6,2026-07-18
368,341,36,9,2026-02-02
369,387,30,6,2026-04-01
370,891,13,4,2025-11-17
371,586,25,4,2026-03-15
372,877,50,7,2025-11-03
373,45,21,8,2025-09-24
374,723,25,7,2026-07-09
375,680,42,3,2025-09-13
376,508,3,3,2026-03-12
377,515,38,6,2025-09-22
378,891,7,8,2026-01-15
379,103,34,8,2026-02-08
380,16,47,3,2026-03-01
381,420,42,3,2025-11-10
382,77,31,5,2026-02-06
383,347,40,7,2026-04-15
384,666,6,6,2026-06-03
385,873,44,9,2026-03-02
386,390,21,8,2025-11-02
387,894,35,1,2026-05-03
388,633,5,4,2025-12-19
389,647,44,5,2026-05-24
390,233,48,2,2026-01-27
391,445,7,2,2026-05-31
392,455,11,5,2026-06-02
393,926,2,1,2026-04-14
394,333,4,5,2026-01-04
395,368,24,7,2025-11-27
396,150,16,9,2025-08-28
397,422,37,3,2026-03-21
398,175,12,2,2026-01-13
399,625,25,10,2026-04-03
400,700,16,8,2026-06-13
401,935,38,3,2025-12-27
402,238,30,5,2026-02-28
403,471,17,1,2026-05-02
404,921,30,5,2026-07-20
405,694,35,3,2026-01-16
406,76,29,6,2025-11-17
407,602,20,7,2026-02-15
408,707,17,8,2025-10-06
409,866,20,4,2026-01-21
410,394,31,2,2025-10-06
411,243,25,10,2025-12-13
412,368,37,5,2025-12-31
413,717,19,1,2025-10-09
414,850,43,7,2026-07-19
415,282,1,10,2026-03-12
416,886,44,1,2025-11-08
417,933,39,8,2026-03-30
418,853,19,4,2025-11-20
419,622,23,4,2026-02-28
420,652,13,10,2025-08-12
421,257,44,3,2026-08-01
422,644,7,1,2026-07-29
423,317,29,1,2026-05-23
424,594,24,3,2025-11-17
425,93,19,6,2026-01-05
426,766,27,3,2026-04-23
427,206,9,9,2025-11-03
428,898,24,9,2025-08-27
429,514,18,3,2026-01-18
430,264,31,5,2026-08-07
431,765,22,2,2026-01-03
432,480,5,3,2025-10-06
433,773,15,7,2026-08-08
434,991,36,6,2026-02-20
435,93,26,1,2026-03-20
436,271,35,2,2025-09-05
437,466,24,5,2025-08-20
438,599,25,6,2026-06-12
439,111,44,4,2025-09-13
440,483,2,10,2025-09-08
441,906,36,6,2026-08-12
442,938,40,4,2025-09-22
443,664,5,8,2026-07-05
444,932,45,5,2026-08-10
445,665,27,2,2025-11-10
446,144,3,1,2026-04-10
447,312,32,2,2026-08-08
448,100,16,9,2026-04-03
449,139,25,8,2025-10-10
450,380,43,9,2026-06-08
451,430,38,3,2025-10-25
452,907,27,2,2026-01-08
453,854,32,10,2025-11-05
454,418,18,1,2026-02-01
455,707,24,4,2026-01-08
456,455,29,4,2025-08-12
457,876,24,2,2025-10-19
458,703,24,9,2025-11-10
459,924,42,6,2026-07-14
460,63,26,5,2025-12-07
461,195,8,8,2026-02-15
462,94,43,4,2026-01-05
463,658,41,10,2026-05-24
464,995,2,1,2026-04-25
465,806,22,4,2026-07-11
466,129,37,4,2025-12-21
467,71,49,9,2026-07-27
468,213,38,4,2026-05-13
469,833,15,6,2026-02-09
470,793,10,10,2025-11-15
471,3,18,3,2026-03-25
472,134,35,5,2026-01-15
473,818,12,2,2026-04-07
474,677,2,3,2026-06-27
475,16,23,4,2026-04-24
476,603,21,1,2025-11-20
477,179,17,1,2026-05-27
478,130,48,7,2026-01-11
479,539,8,2,2026-06-17
480,488,29,6,2026-01-31
481,526,38,2,2026-05-09
482,463,33,4,2026-07-06
483,969,40,1,2026-07-18
484,745,43,9,2025-09-04
485,309,30,1,2026-02-16
486,63,31,7,2026-04-25
487,437,44,2,2026-03-17
488,503,46,8,2026-03-09
489,76,6,6,2026-02-28
490,623,10,2,2025-08-27
491,130,18,10,2026-02-26
492,649,38,9,2026-07-10
493,730,21,7,2025-08-13
494,612,34,5,2026-01-05
495,465,33,10,2026-06-12
496,441,7,2,2025-10-04
497,874,42,9,2025-11-19
498,739,14,7,2026-01-21
499,463,15,7,2026-01-10
500,348,30,7,2026-06-18
501,426,47,2,2025-09-19
502,321,28,6,2025-11-02
503,682,17,6,2025-12-09
504,977,10,8,2025-10-18
505,69,6,2,2026-01-03
506,96,28,2,2025-12-27
507,763,48,6,2025-11-16
508,832,9,9,2026-01-13
509,62,38,9,2026-04-11
510,576,22,2,2026-03-25
511,421,23,7,2026-07-12
512,889,47,1,2026-04-24
513,992,19,10,2026-03-12
514,320,23,2,2026-04-23
515,592,33,4,2026-03-01
516,159,43,8,2025-12-04
517,230,7,6,2026-02-13
518,866,36,6,2026-03-07
519,118,49,5,2026-04-21
520,588,15,7,2026-06-25
521,866,36,10,2025-12-09
522,629,44,9,2026-03-15
523,27,39,5,2026-08-05
524,30,12,5,2026-06-02
525,720,49,5,2025-08-30
526,944,22,6,2025-09-26
527,7,12,3,2025-09-30
528,580,43,7,2026-03-19
529,72,10,1,2025-10-17
530,94,48,9,2026-06-17
531,221,25,7,2026-05-24
532,465,22,3,2026-08-11
533,379,20,6,2025-11-10
534,796,37,10,2026-07-17
535,87,4,3,2026-07-03
536,162,49,10,2025-08-28
537,51,44,2,2025-09-22
538,279,29,7,2026-02-01
539,498,39,8,2026-01-13
540,425,18,4,2026-05-05
541,774,33,2,2025-11-03
542,354,28,2,2026-03-18
543,291,44,10,2026-05-14
544,499,34,5,2026-03-03
545,47,15,7,2026-01-03
546,614,4,1,2026-01-13
547,210,20,4,2025-11-10
548,786,9,5,2026-08-04
549,297,21,2,2026-04-06
550,8,32,7,2025-09-17
551,180,9,7,2026-03-12
552,546,46,4,2025-12-09
553,513,36,6,2026-03-19
554,74,26,1,2025-12-28
555,447,2,8,2025-08-14
556,944,5,6,2025-08-21
557,590,28,10,2026-04-09
558,415,46,7,2026-03-09
559,297,8,7,2026-06-03
560,22,21,3,2025-11-29
561,821,40,8,2026-08-02
562,852,45,6,2025-11-11
563,91,28,2,2025-08-29
564,250,28,10,2026-07-14
565,411,34,2,2026-08-12
566,406,20,6,2026-04-18
567,227,22,3,2025-11-20
568,79,33,2,2026-07-08
569,544,33,4,2026-06-23
570,928,50,6,2026-03-24
571,360,47,3,2026-01-16
572,242,7,3,2026-01-09
573,263,13,3,2025-12-09
574,617,10,2,2026-01-18
575,182,50,8,2025-10-10
576,476,49,10,2026-06-08
577,779,38,8,2026-07-18
578,698,37,10,2025-12-05
579,331,41,6,2026-06-24
580,155,29,2,2026-02-07
581,481,29,5,2026-01-21
582,816,18,10,2026-02-24
583,58,23,9,2025-08-22
584,76,20,8,2026-01-23
585,463,3,1,2026-07-26
586,378,19,2,2026-05-20
587,661,6,10,2026-07-31
588,609,33,7,2025-10-21
589,474,38,9,2026-02-13
590,978,48,1,2026-03-22
591,461,37,4,2026-01-14
592,330,39,8,2025-11-08
593,514,10,1,2026-05-25
594,462,7,6,2025-11-14
595,732,6,9,2026-01-07
596,662,12,1,2025-12-29
597,254,46,8,2025-09-28
598,450,34,9,2026-03-31
599,625,11,6,2026-05-20
600,382,19,7,2025-12-13
601,419,50,6,2025-11-25
602,696,39,1,2025-09-20
603,809,41,6,2026-03-31
604,68,22,2,2026-03-20
605,572,44,7,2025-12-17
606,291,17,10,2026-07-16
607,895,10,6,2025-08-15
608,84,38,3,2026-07-19
609,939,23,5,2026-01-14
610,991,42,7,2026-06-21
611,133,39,2,2025-09-24
612,318,36,7,2025-10-06
613,659,22,3,2025-10-17
614,687,45,9,2026-05-17
615,96,42,7,2026-01-24
616,521,24,1,2026-07-30
617,372,20,3,2026-02-03
618,974,14,6,2026-04-09
619,971,50,8,2025-12-03
620,197,15,3,2025-09-30
621,159,5,5,2025-12-05
622,865,7,9,2025-09-05
623,790,35,9,2025-08-22
624,39,43,6,2025-09-09
625,898,50,10,2025-11-22
626,135,39,7,2026-08-06
627,158,11,3,2025-09-14
628,852,45,10,2026-07-11
629,829,11,8,2026-06-19
630,45,27,6,2026-06-06
631,693,47,4,2025-11-11
632,993,29,10,2026-05-30
633,292,49,8,2026-04-03
634,240,35,4,2026-08-10
635,317,31,4,2025-08-14
636,377,44,10,2026-07-09
637,452,30,5,2026-02-24
638,797,25,9,2025-09-20
639,541,27,3,2026-03-15
640,837,13,10,2026-08-06
641,142,17,1,2026-02-04
642,657,31,6,2026-02-08
643,568,7,9,2026-03-04
644,872,8,5,2025-10-22
645,86,49,3,2025-09-09
646,280,29,9,2026-03-11
647,151,28,2,2026-06-30
648,970,15,8,2025-12-21
649,906,23,1,2026-07-18
650,425,4,7,2026-07-06
651,515,24,4,2026-07-18
652,396,6,6,2025-11-19
653,230,2,6,2025-09-30
654,954,7,6,2026-05-01
655,811,10,3,2026-05-29
656,40,19,8,2026-06-20
657,713,9,8,2026-04-02
658,460,40,1,2026-01-14
659,928,6,1,2025-10-04
660,263,14,3,2025-09-21
661,562,47,10,2025-10-11
662,541,28,2,2025-10-25
663,795,19,4,2025-11-11
664,309,8,1,2026-05-08
665,245,27,10,2026-07-01
666,469,5,2,2025-12-15
667,857,32,10,2026-01-16
668,549,2,9,2026-04-23
669,589,16,3,2026-05-05
670,299,28,1,2026-06-25
671,630,23,4,2026-02-22
672,585,27,3,2026-01-27
673,681,43,2,2025-12-18
674,537,24,2,2026-06-07
675,977,34,9,2025-10-12
676,520,33,9,2026-08-06
677,21,25,8,2026-07-24
678,45,41,7,2025-10-14
679,383,17,1,2025-09-27
680,366,5,6,2026-04-14
681,247,47,2,2026-04-23
682,791,38,6,2025-11-05
683,137,3,6,2025-12-08
684,560,22,3,2025-11-12
685,851,50,8,2026-05-30
686,713,31,3,2026-08-05
687,831,9,2,2025-11-18
688,734,50,8,2025-08-23
689,38,19,4,2026-07-23
690,45,13,1,2025-11-13
691,324,20,9,2026-04-07
692,408,35,8,2025-11-24
693,260,3,4,2026-01-30
694,293,23,1,2026-05-09
695,887,42,6,2026-06-26
696,280,8,6,2026-06-17
697,448,26,8,2025-09-09
698,917,25,6,2025-10-02
699,998,12,8,2025-10-21
700,709,32,6,2026-07-20
701,947,34,5,2026-08-07
702,821,6,7,2025-11-24
703,81,28,10,2026-02-24
704,843,12,9,2026-05-19
705,301,21,2,2026-05-06
706,82,21,5,2026-02-07
707,314,29,10,2026-07-22
708,735,28,3,2026-05-07
709,707,29,6,2026-08-06
710,458,3,6,2026-01-23
711,630,28,5,2026-07-07
712,655,4,2,2026-01-04
713,688,41,7,2025-10-26
714,373,33,3,2026-04-12
715,976,2,3,2026-04-05
716,870,39,8,2026-04-17
717,36,9,2,2025-10-11
718,242,50,6,2025-10-13
719,371,25,10,2025-10-21
720,34,39,3,2026-06-12
721,696,29,6,2026-02-25
722,381,29,2,2026-04-19
723,588,9,9,2026-06-07
724,376,26,6,2026-07-06
725,666,18,4,2025-12-19
726,984,8,1,2025-08-16
727,754,12,8,2026-02-26
728,531,25,9,2026-06-01
729,121,17,5,2025-09-05
730,721,29,4,2026-05-25
731,627,19,8,2026-07-30
732,205,8,3,2026-06-10
733,874,5,8,2025-11-13
734,177,46,8,2026-04-30
735,90,44,6,2025-10-22
736,684,23,2,2025-12-31
737,564,35,5,2026-08-10
738,913,20,3,2026-08-05
739,729,46,3,2025-12-08
740,813,24,9,2026-02-27
741,230,8,4,2026-06-11
742,812,9,4,2025-11-17
743,810,32,1,2026-07-05
744,370,36,10,2025-12-11
745,378,30,9,2025-11-04
746,133,40,2,2025-12-01
747,68,20,7,2025-08-25
748,735,47,8,2026-07-15
749,539,27,7,2026-04-25
750,844,37,2,2026-04-01
751,129,21,2,2025-09-19
752,461,30,9,2025-09-06
753,353,9,9,2026-06-27
754,656,38,3,2026-01-20
755,787,9,7,2026-02-12
756,515,4,2,2026-02-16
757,531,10,5,2025-09-05
758,169,11,6,2026-01-14
759,958,46,4,2026-08-08
760,355,34,5,2025-11-22
761,867,6,5,2025-11-13
762,202,41,9,2026-04-14
763,282,9,5,2025-12-21
764,630,35,2,2025-11-15
765,515,42,3,2025-08-31
766,607,38,3,2026-02-22
767,176,43,10,2026-06-07
768,738,39,6,2026-06-29
769,863,37,1,2026-04-20
770,846,2,2,2026-02-01
771,47,42,10,2026-03-26
772,272,42,4,2026-01-23
773,786,37,7,2026-05-26
774,633,41,1,2025-09-20
775,510,41,9,2026-04-03
776,297,42,5,2026-04-07
777,495,16,7,2026-07-11
778,305,30,2,2026-05-04
779,706,4,3,2025-12-07
780,451,27,8,2026-04-04
781,476,14,6,2025-09-26
782,622,10,6,2026-02-24
783,883,46,6,2026-07-29
784,752,23,7,2026-02-15
785,134,49,6,2025-11-13
786,528,36,2,2026-02-25
787,327,16,8,2025-12-31
788,126,18,8,2026-03-27
789,254,10,2,2026-03-12
790,52,19,7,2026-08-08
791,885,40,7,2026-02-21
792,255,11,6,2026-05-23
793,957,37,6,2026-07-01
794,195,49,3,2026-05-18
795,511,33,8,2026-03-19
796,511,20,8,2025-12-02
797,24,6,7,2026-08-07
798,518,30,4,2026-02-04
799,221,38,6,2026-04-26
800,50,4,5,2026-06-14
801,507,39,8,2025-09-19
802,293,35,1,2026-06-15
803,868,7,7,2026-04-18
804,138,17,6,2025-11-12
805,783,26,6,2025-11-05
806,47,26,1,2026-06-04
807,584,36,4,2026-06-23
808,372,36,5,2026-08-08
809,76,25,9,2026-02-25
810,462,49,9,2026-07-30
811,287,40,10,2026-04-29
812,122,9,2,2025-10-15
813,404,24,6,2025-09-29
814,572,24,3,2025-10-25
815,204,39,9,2026-03-03
816,412,33,1,2025-11-02
817,47,3,3,2026-01-23
818,731,22,8,2026-02-18
819,532,30,3,2025-11-07
820,621,33,3,2026-05-28
821,336,40,6,2025-10-06
822,167,26,10,2025-09-22
823,758,20,10,2026-04-05
824,345,33,9,2026-03-01
825,546,32,10,2025-08-23
826,307,31,1,2026-07-14
827,378,22,2,2025-10-08
828,427,38,5,2026-06-30
829,816,47,1,2025-10-27
830,612,31,5,2025-10-14
831,991,42,10,2026-06-25
832,592,15,1,2026-07-16
833,598,31,3,2026-04-29
834,537,41,10,2026-03-03
835,794,25,3,2025-10-28
836,842,44,4,2025-10-04
837,33,37,2,2025-08-28
838,196,2,8,2025-09-23
839,322,27,3,2025-10-18
840,423,45,4,2025-10-15
841,421,33,10,2025-08-12
842,943,31,1,2025-09-04
843,723,9,9,2026-02-19
844,213,36,6,2026-01-27
845,679,31,9,2025-12-28
846,386,21,3,2025-08-28
847,471,35,6,2025-08-22
848,560,23,5,2026-06-15
849,625,31,4,2026-03-18
850,981,16,5,2026-06-25
851,572,20,4,2026-07-14
852,965,20,5,2026-04-16
853,722,14,8,2026-04-30
854,325,31,6,2025-09-25
855,574,47,5,2026-02-28
856,295,8,10,2026-06-07
857,693,35,7,2025-10-20
858,918,26,6,2025-12-30
859,978,50,3,2025-09-15
860,298,3,5,2025-09-03
861,979,46,2,2026-05-04
862,355,29,5,2026-07-06
863,766,31,4,2025-11-25
864,207,35,5,2025-12-06
865,956,36,5,2025-11-09
866,141,7,10,2026-07-23
867,759,38,4,2026-03-15
868,249,4,9,2026-05-15
869,232,41,4,2026-05-26
870,54,7,7,2025-11-21
871,339,46,8,2026-05-25
872,103,44,3,2026-05-19
873,6,36,3,2026-03-01
874,417,42,8,2025-10-01
875,489,42,4,2025-12-05
876,775,19,6,2026-01-08
877,293,42,1,2026-08-06
878,930,50,2,2025-12-05
879,668,37,4,2026-04-16
880,548,48,1,2025-09-16
881,936,12,7,2025-08-13
882,904,12,1,2026-05-07
883,857,26,8,2026-08-11
884,191,48,5,2026-01-26
885,898,3,1,2026-05-14
886,306,37,10,2026-07-13
887,110,22,5,2025-08-13
888,466,42,9,2026-06-07
889,537,32,3,2025-11-22
890,872,33,8,2025-12-10
891,280,13,2,2026-05-10
892,339,11,8,2025-12-28
893,664,17,3,2026-06-13
894,15,48,6,2025-12-11
895,810,19,10,2026-07-08
896,691,49,4,2025-08-28
897,180,40,7,2026-01-17
898,847,28,9,2026-07-06
899,336,6,7,2026-01-01
900,686,7,3,2025-11-18
901,144,31,6,2025-09-08
902,959,16,1,2026-07-09
903,268,25,4,2026-01-02
904,458,49,5,2025-12-25
905,977,22,5,2026-06-25
906,597,47,10,2026-04-28
907,12,17,6,2026-04-26
908,710,16,1,2026-07-04
909,684,8,8,2026-07-22
910,315,11,7,2026-08-08
911,703,33,5,2025-08-12
912,707,8,5,2026-01-22
913,377,40,4,2025-12-08
914,225,9,8,2026-01-04
915,157,30,10,2026-06-07
916,383,27,9,2026-07-13
917,935,31,9,2025-11-18
918,822,43,4,2026-03-26
919,781,16,10,2025-08-27
920,895,6,9,2026-03-25
921,458,34,6,2025-12-24
922,80,37,2,2026-03-05
923,64,36,9,2025-10-22
924,208,37,9,2026-01-12
925,154,11,6,2025-10-25
926,875,34,8,2026-03-02
927,120,44,4,2025-12-28
928,735,38,8,2026-05-04
929,94,33,8,2026-03-06
